Gene,Related Hormone Type,Function category
AT1G16540,abscisic acid,Hormone biosynthesis
AT1G52340,abscisic acid,Hormone biosynthesis
AT1G67080,abscisic acid,Hormone biosynthesis
AT2G27150,abscisic acid,Hormone biosynthesis
AT3G14440,abscisic acid,Hormone biosynthesis
AT3G26090,abscisic acid,Hormone biosynthesis
AT4G15560,abscisic acid,Hormone biosynthesis
AT5G03280,abscisic acid,Hormone biosynthesis
AT5G67030,abscisic acid,Hormone biosynthesis
AT2G29090,abscisic acid,Hormone metabolism
AT5G45340,abscisic acid,Hormone metabolism
AT1G06390,abscisic acid,Hormone signal transduction
AT1G09700,abscisic acid,Hormone signal transduction
AT1G21970,abscisic acid,Hormone signal transduction
AT1G25490,abscisic acid,Hormone signal transduction
AT1G28300,abscisic acid,Hormone signal transduction
AT1G32640,abscisic acid,Hormone signal transduction
AT1G34120,abscisic acid,Hormone signal transduction
AT1G35515,abscisic acid,Hormone signal transduction
AT1G35670,abscisic acid,Hormone signal transduction
AT1G56070,abscisic acid,Hormone signal transduction
AT1G69270,abscisic acid,Hormone signal transduction
AT1G72770,abscisic acid,Hormone signal transduction
AT1G78590,abscisic acid,Hormone signal transduction
AT2G13540,abscisic acid,Hormone signal transduction
AT2G17290,abscisic acid,Hormone signal transduction
AT2G22090,abscisic acid,Hormone signal transduction
AT2G26980,abscisic acid,Hormone signal transduction
AT2G31660,abscisic acid,Hormone signal transduction
AT2G33790,abscisic acid,Hormone signal transduction
AT2G34900,abscisic acid,Hormone signal transduction
AT2G36270,abscisic acid,Hormone signal transduction
AT2G38050,abscisic acid,Hormone signal transduction
AT2G39550,abscisic acid,Hormone signal transduction
AT2G39940,abscisic acid,Hormone signal transduction
AT2G40220,abscisic acid,Hormone signal transduction
AT2G46370,abscisic acid,Hormone signal transduction
AT3G08550,abscisic acid,Hormone signal transduction
AT3G11410,abscisic acid,Hormone signal transduction
AT3G15730,abscisic acid,Hormone signal transduction
AT3G20770,abscisic acid,Hormone signal transduction
AT3G23050,abscisic acid,Hormone signal transduction
AT3G24650,abscisic acid,Hormone signal transduction
AT3G26790,abscisic acid,Hormone signal transduction
AT3G48040,abscisic acid,Hormone signal transduction
AT3G54320,abscisic acid,Hormone signal transduction
AT3G55530,abscisic acid,Hormone signal transduction
AT3G63210,abscisic acid,Hormone signal transduction
AT4G09570,abscisic acid,Hormone signal transduction
AT4G15900,abscisic acid,Hormone signal transduction
AT4G18010,abscisic acid,Hormone signal transduction
AT4G21670,abscisic acid,Hormone signal transduction
AT4G23650,abscisic acid,Hormone signal transduction
AT4G26080,abscisic acid,Hormone signal transduction
AT4G33950,abscisic acid,Hormone signal transduction
AT4G38630,abscisic acid,Hormone signal transduction
AT5G03730,abscisic acid,Hormone signal transduction
AT5G13530,abscisic acid,Hormone signal transduction
AT5G13680,abscisic acid,Hormone signal transduction
AT5G15970,abscisic acid,Hormone signal transduction
AT5G19330,abscisic acid,Hormone signal transduction
AT5G20910,abscisic acid,Hormone signal transduction
AT5G23720,abscisic acid,Hormone signal transduction
AT5G40280,abscisic acid,Hormone signal transduction
AT5G47100,abscisic acid,Hormone signal transduction
AT5G48870,abscisic acid,Hormone signal transduction
AT5G57050,abscisic acid,Hormone signal transduction
AT5G63980,abscisic acid,Hormone signal transduction
AT1G52920,abscisic acid,Hormone receptor
AT4G16280,abscisic acid,Hormone receptor
AT5G13630,abscisic acid,Hormone receptor
AT1G25220,auxin,Hormone biosynthesis
AT1G70560,auxin,Hormone biosynthesis
AT2G20610,auxin,Hormone biosynthesis
AT4G13260,auxin,Hormone biosynthesis
AT4G31500,auxin,Hormone biosynthesis
AT4G32540,auxin,Hormone biosynthesis
AT5G05730,auxin,Hormone biosynthesis
AT5G11320,auxin,Hormone biosynthesis
AT5G25620,auxin,Hormone biosynthesis
AT4G37390,auxin,Hormone metabolism
AT5G54510,auxin,Hormone metabolism
AT5G55250,auxin,Hormone metabolism
AT1G12820,auxin,Hormone receptor
AT3G26810,auxin,Hormone receptor
AT3G62980,auxin,Hormone receptor
AT4G03190,auxin,Hormone receptor
AT1G04240,auxin,Hormone signal transduction
AT1G04250,auxin,Hormone signal transduction
AT1G04550,auxin,Hormone signal transduction
AT1G05180,auxin,Hormone signal transduction
