ID,Zygotic_r1,Zygotic_r2,Day7_r1,Day7_r2,Day14_r1,Day14_r2,Somatic_r1,Somatic_r2
ORF25,161.7091003,113.1401228,244.6598605,246.2276291,80.73407799,113.2111102,64.45221637,102.2614565
NAD4L,106.292664,88.22951792,198.2629724,241.3031614,82.7425696,97.15543552,53.96103398,92.5883698
ORF149,884.8863433,431.2343775,1390.644061,1506.511532,451.5780796,534.1485046,342.9900136,289.0551041
ORF275,90.3619672,40.29023561,166.904828,159.1506198,41.80308618,43.2341531,120.0279006,11.82658469
ORF122C,17.11319033,51.0089139,48.62715655,38.84436542,28.89312577,63.14954052,9.287074227,24.72033204
ORF240A,480.8959915,341.8489992,1127.578594,872.2908816,368.93723,355.2142112,543.8357919,630.7799443
ORF120,4.200665482,8.65567784,18.36409912,10.28531425,4.19626467,14.97484196,16.35261902,18.16735605
ORF107D,3.230124425,1.237089561,13.93224038,2.69471823,1.835016684,2.459257901,2.456879547,2.827122527
ORF100A,26.33004453,6.195868533,48.20920062,37.33408998,58.01848337,125.3551929,23.71984741,5.360133032
ORF119,30.98437419,22.72196873,34.16518398,31.27515921,39.74433216,44.8783639,12.93647271,52.23523737
ORF170,10.5333274,2.356154184,11.90011896,2.464489351,18.96975577,28.22296385,6.754201711,12.32587134
CCB382,1065.578967,814.844933,2258.235181,2770.080205,247.4822407,245.8665396,376.5198917,129.2927577
ORF121B,8.128252032,41.55625709,11.15010285,37.47194424,55.93945854,134.225288,4.111593895,37.1094346
ORF107E,2.252571848,1.52285148,12.66814381,4.027055811,14.8384918,38.64670052,14.23173224,4.009314068
ORF158,49.01876968,41.86780765,8.717025398,11.21215792,46.92143628,130.01182,28.22692122,11.3607117
ORF187,27.22291858,1.034310523,28.63643493,1.950872045,1.41070138,28.91940827,14.4550653,39.45233083
ORF184,2.002086316,1.71518698,5.420712354,9.883310074,3.55140705,30.66745419,1.356568755,6.199486379
ORF106D,4.062298376,17.335176,5.182294178,9.558914505,17.91624923,28.45834129,4.515447953,10.37658916
CCB203,38.03980997,35.53203746,36.28683671,60.3228726,46.17305577,72.91553703,21.2359372,11.75989077
NAD3,209.8322095,106.7744185,431.7083317,464.1440822,605.4115538,821.0067683,111.5912231,92.53619633
ORF114,56.83848628,58.11050106,199.4646704,312.7223344,161.6636339,161.8302567,77.8844972,35.64551632
ORF118,26.81858913,31.37344706,122.2990283,107.9435492,35.36224059,58.63570085,70.77490428,30.2899373
ORF135B,31.95737425,32.13706747,125.0030964,78.15172177,52.14477631,42.93423665,86.51137048,31.64368944
ORF107F,97.32789133,82.50058964,170.4857596,137.2900713,161.238812,362.8775141,66.71403063,64.35246937
NAD7,26.93438503,13.89705226,18.61350592,21.75523691,12.96523359,12.87597819,9.67607329,32.92744689
MATR,37.94272208,20.85134294,52.70055301,71.82606285,71.124627,59.44055187,27.11293651,15.78931708
ORF109,92.21486235,70.09507738,176.4450116,109.238644,150.6581169,188.8953767,134.3464588,109.7261805
ORFX,209.7018087,155.6557539,272.5125472,353.4305005,192.8994845,217.0916618,79.59607606,79.48606955
NAD4,1763.85937,670.850677,1026.571881,1910.438343,755.1380604,1597.981483,1015.263212,385.3158335
ORF106C,2.832298427,33.07367832,15.94394631,21.26969222,1.520978413,29.87531273,12.56302033,18.80267746
ORF110B,26.83244711,40.16799829,157.3255396,204.3301558,86.8191066,201.1907371,29.3923046,33.7322429
PSAC,1290.072396,450.6214122,130.063754,173.9299289,35.49485925,159.8349364,48.50170046,15.01843209
NDHE,675.7294071,235.3731204,297.5640289,192.6389312,168.1697552,357.0714406,76.65560945,39.2494748
NDHG,355.0617412,122.5768488,77.05461673,71.16372112,78.68622145,558.9970972,15.04170946,26.21633512
NDHI,3233.727144,2452.294947,3548.388016,2751.302638,275.5424412,570.139239,827.7519887,168.0236169
NDHA,266.614261,166.1628832,295.3193787,208.0847102,55.5387906,95.51308749,55.03816405,41.51156679
NDHH,43.85853305,22.97351703,18.9036163,21.18744935,14.4579893,32.15734619,2.090423688,3.241707208
RPS15,951.1535555,426.7129399,345.2043203,484.1023897,163.0996836,206.1750776,95.34450148,25.46650863
RPS12.1,297.5375391,162.0719882,223.3989654,186.4762249,40.33509005,36.1852956,31.72664888,2.954070976
RPS12.2,1346.194326,959.4433928,767.0121636,840.7935215,99.50919426,156.6907162,199.4525238,19.19608974
ORF153A,31.11704615,33.18244814,92.44993498,52.94825348,67.83544475,148.0164291,26.89013594,69.45292881
ORF131,4.66787464,21.85535402,11.23078888,21.13421814,4.033628506,25.47383247,23.55891768,6.36546412
NAD9,240.919373,136.3493207,256.2589787,273.070577,142.7204388,144.3588851,135.2161035,133.1743097
RPL16.MITOCHONDRIA,2701.95646,744.831871,3315.279642,4348.28318,1484.419701,1818.899169,812.0528356,415.1313172
CCB206,126.0746794,86.24219971,206.1407696,163.6174271,109.3250016,114.67645,74.70140834,47.23794076
ORF143,19.4822944,11.825295,15.48896709,41.91585071,78.19097285,307.6609466,49.78220789,24.2786281
ORF121A,10.20738372,7.432943867,49.78478472,45.09750971,35.42042449,70.37436092,38.85860015,82.50023711
ORF167,1.477082093,34.23189565,30.96680555,36.07678231,21.89752069,46.64009295,18.58561812,16.15112937
ORF116,7.239672034,4.176027934,64.48514765,66.67637074,67.8471955,64.57300673,40.88921445,38.13524631
COX2,149.3128282,70.25716225,611.3911911,458.2743935,176.0512009,202.5081056,140.6589777,107.6139486
CCB452,319.5110139,238.2041892,934.6277039,1167.869215,951.7729446,1107.606215,829.2422518,719.9948542
ORF101A,27.09533653,23.01981028,49.86832265,43.98789321,53.46588925,102.5307459,33.80093335,23.4649213
NAD6,122.9950465,61.00021796,243.3540846,211.2266808,99.3009064,162.6841012,74.29763691,62.84372733
ORF110A,14.4247671,1.801964006,22.15171607,33.76209931,24.89376809,32.99780002,40.74919967,33.62466699
ORF127,19.13302306,4.762261526,38.14175426,24.7964835,23.36156591,74.93882855,21.29906356,31.06904332
ORF154,58.14375448,15.47163492,94.32707784,106.4748902,123.3240232,167.8789446,62.85174173,80.73106888
ORF157,75.36915451,75.90500257,163.8395708,138.1844916,102.3009774,204.7423564,62.2497922,101.8291598
ORF106B,35.11822682,21.25578834,90.85040997,77.95826247,65.44950135,144.9801225,44.34338517,94.92500599
ORF107C,464.1557127,234.5574127,589.2795129,1289.058944,330.1914777,319.9476579,374.1528959,145.5937931
RPL32,4120.181762,2906.882241,1042.78644,918.6000009,269.2874601,311.1692134,599.3974993,321.9176262
YCF5,9308.331775,4453.435865,1236.541587,1110.832658,294.5889753,937.8498659,676.435205,331.9721592
NDHD,5262.44528,3818.632821,682.4854312,1108.322248,189.6750621,623.4083743,712.9292464,79.26719488
PSBF,6106.356465,5455.288445,1031.476309,931.6451018,633.4986503,1139.295656,2753.384069,651.1867585
PSBE,1342.577125,2810.212464,347.9279612,255.2265032,339.7410441,439.1145547,1414.771198,259.4019247
ORF31,2148.074895,701.2598542,248.3629952,257.5365168,339.5003042,423.3547301,77.89385976,67.35772601
PETG,295.4873968,151.5098176,37.46934209,23.10547969,32.26411045,171.7433492,22.02561291,7.520565145
PSAJ,8626.635257,8041.297028,960.7677311,853.9717216,1521.06129,1446.025579,798.531486,410.1107751
RPL33,2259.443427,2367.712543,977.0832478,638.3254528,351.6672038,497.5703315,537.0875048,103.7447901
RPS18,971.7087424,1111.949656,331.9402297,274.9253634,130.5473926,130.8561918,236.5267824,100.7314227
RPL20,2216.488244,839.0630791,563.3888429,794.5465733,271.9350929,590.8627939,133.7672765,69.09946157
CLPP,9251.136502,5462.792554,7754.015401,7591.202067,1432.053146,1220.063639,3106.123901,487.4448182
PSBB,1477.908352,665.0276113,53.07643492,43.01647399,53.88055439,258.0330499,58.27146851,25.42970847
PSBT,1507.837182,443.3177138,56.66623101,26.77413592,44.77400101,437.9634692,15.09966266,2.765671857
PSBN,338.508649,114.3959328,16.93475583,27.08137564,47.04148572,442.9004201,13.99162899,13.83548926
PSBH,2293.826547,1400.110938,138.076979,151.0740016,30.30110192,92.15410579,136.8168102,30.71308564
PETB,11523.32,9214.514343,1543.306963,1481.177557,578.5957551,529.9308328,2170.540282,516.6105848
PETD,418.0655958,192.1292422,88.52476675,62.67430663,56.64514344,130.0071744,32.00253376,44.12348197
RPOA,8256.240572,5758.312415,6004.465409,4755.87533,2340.964884,1992.192113,2785.454397,999.5122851
RPS11,1800.906863,2166.95125,2860.670325,2137.467694,1522.700057,1606.859894,1853.680612,424.2219514
RPL36,2047.229903,1727.642822,1659.040366,1961.315937,1123.267482,1103.161698,511.2125409,180.9512364
RPS8,1017.66195,443.5472518,667.9147593,574.6068977,269.7656225,268.1389928,149.9333229,37.98995336
RPL14,1553.539285,588.0555353,622.7622947,1083.928929,167.4688414,187.0049504,94.88627592,17.84108863
RPL16.CHLOROPLAST,2367.842427,1449.135225,567.757628,588.3124791,112.1692798,184.7756959,139.4982331,20.97653099
RPS3.CHLOROPLAST,3161.869131,2703.99545,1530.803983,1981.985556,392.889855,642.3670522,1052.362218,252.072497
RPL22,1770.864856,1363.548447,786.314629,802.5394698,260.4111326,569.4448897,483.7165488,64.04128016
RPS19,4700.584572,2523.348081,1372.538052,1442.951248,449.6200136,906.7762047,484.4402867,249.0423827
RPL2.1_CHLORO,15112.77536,10217.22685,7412.274486,5580.42902,4449.409147,4525.960413,5650.709144,2482.37212
RPL23.1,5415.922082,4222.383314,1070.043048,855.3044456,1046.940527,1876.623581,749.4906602,200.7477681
YCF2.1,84.23165442,64.10626544,81.9446082,55.77902623,48.00873885,79.59115324,16.49253756,14.15941668
ORF77.1,427.1226855,162.1643148,100.5528612,128.0313348,61.80405567,203.2991664,22.13840827,5.178208125
NDHB.1,197.8292306,114.2101396,62.12075693,51.12291675,56.89830108,144.2138778,19.74109707,40.66678315
RPS7.1_CHLOROPLAST,9397.776682,5858.024069,4448.009216,3776.536909,1524.659292,2461.57634,969.5317972,99.49755301
YCF1.1,2915.208615,2229.23645,999.9367048,1160.86695,134.6675764,648.7564616,215.5757134,33.14212643
NDHF,20.99800373,13.69896272,30.3839273,16.55848284,21.73366684,233.7991319,1.057036935,19.61330807
ATPI,53.36213265,12.68387336,30.64353953,2.662048677,17.17156587,85.04168996,6.769932062,9.675282443
RPS2,1499.592755,1399.74521,738.3388579,566.0710107,38.20208124,81.48055222,85.20312046,22.23423754
RPOC2,572.2358366,327.5176706,331.6052134,364.7910817,115.6553766,109.0655012,32.37018791,26.26388158
RPOC1,2194.486741,1139.89951,1038.492597,1575.358713,528.4432991,587.3642695,942.8989622,107.8722573
