,z1_counts,z2_counts,o1_counts,o2_counts,g1_counts,g2_counts,h1_counts,h2_counts,t1_counts,t2_counts,b1_counts,b2_counts,m1_counts,m2_counts
AT1G73220,33.93878181,25.06696566,71.19017554,144.135509,39.48546491,20.36232336,33.21492715,23.01983504,108.2364317,118.8182994,260.6943684,102.7462328,0,1.956546568
AT5G06290,66.90788413,88.47164351,186.4873077,243.2286714,401.4355599,332.1603999,486.1457519,569.4907017,2469.758577,2428.957695,1019.180139,462.3580476,3.128972818,39.13093136
AT1G79360,106.6647428,156.2999035,119.1661634,105.8495144,134.9086718,103.084262,326.1101938,207.1785154,573.981077,411.6437259,541.6150241,298.2955146,103.256103,164.3499117
AT1G03410,421.8105739,703.3495659,494.4621975,526.9954548,855.5184063,650.3217024,966.2524262,685.5907393,1157.80183,842.7658615,675.3332562,280.0663442,3.128972818,14.67409926
AT1G16390,31148.04426,31318.9618,24681.32434,18805.17969,381.6928274,269.8007846,199.2895629,371.3199478,13.11956747,2.597121299,0,0,7.822432044,4.89136642
AT1G47290,76.60467894,69.30278742,316.4867586,272.5061967,174.3941367,249.4384612,653.7301571,804.693364,849.4919939,981.0625706,416.886253,548.5323074,3.128972818,27.39165195
AT2G26260,35.87814077,78.14995177,317.2605649,317.5485433,210.5891462,120.901295,294.4050361,224.1931761,360.7881055,345.4171327,211.252333,187.2632953,25.03178254,50.87021077
AT3G20660,860.1056989,1408.173659,574.1642418,1121.554429,115.1659393,110.7201333,125.3108615,57.04915641,203.3532958,199.97834,1161.887832,566.7614777,869.8544433,843.2715709
AT1G51680,80.48339686,66.35373263,280.1178646,313.0443086,26.32364327,2.545290421,175.1332522,125.1077991,1613.706799,1777.080249,5048.706023,1453.362035,255.0112846,200.5460232
AT3G21240,86.30147374,95.84428047,215.8919454,263.4977274,23.03318786,34.36142068,33.21492715,51.04398205,324.709295,341.5214508,1139.414179,243.6080036,1.564486409,3.913093136
AT1G65060,2139.112933,1823.990384,3504.568533,2855.684772,78.97092981,122.1739402,128.3304004,123.1060743,173.834269,407.0987636,320.2495474,89.48865437,15.64486409,22.50028553
AT3G21230,31.99942285,42.76129436,90.53533194,231.9680848,194.1368691,132.3551019,143.4280945,131.1129735,163.9945934,148.6851944,352.8363435,169.0341249,1.564486409,2.934819852
AT5G13050,68.84724309,67.82826003,329.641465,326.5570126,612.0247061,379.2482727,371.4032763,369.318223,429.6658348,283.7355019,287.6627514,144.1761654,3.128972818,32.28301837
AT1G79410,0,0,3.095225023,0,0,0,0,0,6.559783737,2.597121299,0,8.285986516,0,0
AT1G47510,2.909038441,5.898109567,6.964256303,18.01693862,0,0,0,2.001724786,0,0,0,0,3.128972818,13.69582598
AT1G05630,4.848397401,4.423582176,35.59508777,38.28599458,9.871366227,27.99819463,179.6625605,135.1164231,134.4755666,127.908224,91.01829243,16.57197303,0,3.913093136
AT4G18010,85.33179426,84.04806134,54.94024417,33.78175992,6.580910818,22.90761378,3.019538832,8.006899145,0,0,3.371047868,34.80114337,6.257945635,1.956546568
AT4G28395,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT3G08580,12071.53985,26352.75355,33696.94102,45621.14072,46234.18895,31528.51244,25779.31278,22700.55994,50454.57661,31177.79191,13804.44102,7016.573382,799.4525549,1276.646636
AT5G13490,1954.873832,2462.460744,3107.605924,2828.659364,4313.787041,6869.738845,2305.417898,1439.240121,2217.206903,1573.855507,593.3044247,835.2274408,294.1234449,167.2847316
AT4G28390,3803.082921,4354.279388,1973.979759,2270.134267,723.90019,659.2302189,1520.337802,2262.949871,954.4485337,578.5087693,2449.628117,2477.509968,8060.233978,8025.754022
AT5G61160,0,0,0,0,0,0,0,0,0,1.298560649,0,3.314394606,0,0
AT1G20560,176.4816654,191.6885609,857.3773315,864.813054,431.0496586,341.0689163,655.2399265,404.3484068,836.3724265,548.6418744,879.8434935,886.6005572,32.85421459,61.6312169
AT1G65890,0,2.949054784,6.964256303,4.504234656,0,0,9.058616496,13.01121111,3.279891869,2.597121299,10.1131436,4.97159191,1.564486409,0
AT1G30520,43.63557661,61.93015046,174.8802138,317.5485433,233.622334,133.6277471,1026.643203,262.225947,498.543564,368.1419441,56.18413113,24.85795955,17.2093505,8.804459557
AT4G14070,242.4198701,206.4338349,82.02346312,157.648213,95.42320686,81.44929346,976.8208121,348.3001128,436.2256185,383.7246719,400.0310136,175.6629141,184.6093962,92.93596199
AT3G23790,0.96967948,1.474527392,40.2379253,36.03387725,26.32364327,11.45380689,114.7424756,87.0750282,85.27718858,97.39204871,84.27619669,61.31630022,300.3813905,117.3927941
AT5G23050,33.93878181,39.81223958,179.5230514,184.6736209,46.06637572,38.17935631,295.9148055,322.2776906,724.8561029,569.4188448,527.00715,296.6383173,386.428143,415.7661457
AT1G55320,204.6023703,263.9404031,680.9495052,858.056702,95.42320686,36.9067111,615.9859217,365.3147735,728.1359948,462.9368715,540.4913415,273.437555,62.57945635,26.41337867
AT5G16370,1720.211398,2353.345717,733.5683306,1162.092541,233.622334,174.3523938,759.4140162,779.6718042,2433.679766,1983.551392,3102.487721,1711.884814,3811.088892,6070.185728
AT3G16910,133.8157683,202.0102527,170.2373763,315.2964259,243.4937003,118.3560046,332.1492715,265.2285342,1174.201289,777.837829,879.8434935,387.7841689,330.1066323,435.3316114
AT4G20070,33.93878181,85.52258873,183.3920826,256.7413754,82.26138522,55.99638925,181.1723299,186.1604051,718.2963192,480.4674403,711.2911001,873.3429788,32.85421459,137.9365331
AT3G43600,7.757435842,10.32169174,32.49986275,0,16.45227704,6.363226051,54.35169897,94.08106495,81.99729671,89.60068481,59.555179,34.80114337,14.08037768,29.34819852
AT2G27150,36.84782025,58.98109567,211.2491078,204.9426769,52.64728654,17.81703294,48.31262131,41.03535812,13.11956747,19.47840974,30.33943081,41.42993258,326.9776594,259.2424203
AT1G58360,99.87698646,157.7744309,1021.424258,1427.842386,671.2529034,357.6133041,1020.604125,847.7304469,1662.905177,1623.850092,3002.479968,1985.322369,2855.187696,2917.210933
AT5G09220,883.3780065,616.3524498,173.3326013,168.9087996,3.290455409,2.545290421,13.58792474,9.007761538,0,0,1.123682623,0,3.128972818,0
AT1G77380,2.909038441,7.372636959,107.5590696,105.8495144,0,0,0,8.006899145,13.11956747,7.142083572,7.865778358,0,1.564486409,2.934819852
AT5G63850,24.24198701,50.13393132,3.095225023,0,0,0,3.019538832,0,6.559783737,0,2.247365245,4.97159191,0,0
AT1G44100,404.3563432,406.9695602,295.5939897,376.1035938,746.9333778,552.3280212,2572.647085,1585.366031,1771.141609,1408.938305,704.5490044,647.9641455,489.684246,789.4665402
