"header","Zygotic_r1","Zygotic_r2","Day7_r1","Day7_r2","Day14_r1","Day14_r2","Somatic_r1","Somatic_r2"
"ORF107E",2.252571848,1.52285148,12.66814381,4.027055811,14.8384918,38.64670052,14.23173224,4.009314068
"ORF158",49.01876968,41.86780765,8.717025398,11.21215792,46.92143628,130.01182,28.22692122,11.3607117
"ORF184",2.002086316,1.71518698,5.420712354,9.883310074,3.55140705,30.66745419,1.356568755,6.199486379
"ORF114",56.83848628,58.11050106,199.4646704,312.7223344,161.6636339,161.8302567,77.8844972,35.64551632
"ORF110B",26.83244711,40.16799829,157.3255396,204.3301558,86.8191066,201.1907371,29.3923046,33.7322429
"PSAC",1290.072396,450.6214122,130.063754,173.9299289,35.49485925,159.8349364,48.50170046,15.01843209
"ORF121A",10.20738372,7.432943867,49.78478472,45.09750971,35.42042449,70.37436092,38.85860015,82.50023711
"ORF116",7.239672034,4.176027934,64.48514765,66.67637074,67.8471955,64.57300673,40.88921445,38.13524631
"COX2",149.3128282,70.25716225,611.3911911,458.2743935,176.0512009,202.5081056,140.6589777,107.6139486
"YCF5",9308.331775,4453.435865,1236.541587,1110.832658,294.5889753,937.8498659,676.435205,331.9721592
"NDHD",5262.44528,3818.632821,682.4854312,1108.322248,189.6750621,623.4083743,712.9292464,79.26719488
"PSBF",6106.356465,5455.288445,1031.476309,931.6451018,633.4986503,1139.295656,2753.384069,651.1867585
"PSBE",1342.577125,2810.212464,347.9279612,255.2265032,339.7410441,439.1145547,1414.771198,259.4019247
"ORF31",2148.074895,701.2598542,248.3629952,257.5365168,339.5003042,423.3547301,77.89385976,67.35772601
"PETG",295.4873968,151.5098176,37.46934209,23.10547969,32.26411045,171.7433492,22.02561291,7.520565145
"PSAJ",8626.635257,8041.297028,960.7677311,853.9717216,1521.06129,1446.025579,798.531486,410.1107751
"PSBB",1477.908352,665.0276113,53.07643492,43.01647399,53.88055439,258.0330499,58.27146851,25.42970847
"PSBT",1507.837182,443.3177138,56.66623101,26.77413592,44.77400101,437.9634692,15.09966266,2.765671857
"PSBN",338.508649,114.3959328,16.93475583,27.08137564,47.04148572,442.9004201,13.99162899,13.83548926
