From	To	Species	Gene Name
At2g37560	267173_at	Arabidopsis thaliana	origin recognition complex second largest subunit 2(ORC2)
At2g21470	263747_at	Arabidopsis thaliana	SUMO-activating enzyme 2(SAE2)
At3g61780	251278_at	Arabidopsis thaliana	embryo defective 1703(emb1703)
At5g59440	247735_at	Arabidopsis thaliana	P-loop containing nucleoside triphosphate hydrolases superfamily protein(ZEU1)
At2g30920	267210_at	Arabidopsis thaliana	coenzyme Q 3(COQ3)
At5g17710	250061_at	Arabidopsis thaliana	Co-chaperone GrpE family protein(EMB1241)
At2g31305	264059_at	Arabidopsis thaliana	inhibitor-3(INH3)
At2g01860	263593_at	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(EMB975)
At3g54660	251860_at	Arabidopsis thaliana	glutathione reductase(GR)
At4g33090	253360_at	Arabidopsis thaliana	aminopeptidase M1(APM1)
At2g31530	263425_at	Arabidopsis thaliana	SecY protein transport family protein(SCY2)
At1g14610	260780_at	Arabidopsis thaliana	valyl-tRNA synthetase / valine-tRNA ligase (VALRS)(TWN2)
At1g34550	261183_at	Arabidopsis thaliana	transmembrane protein (DUF616)(EMB2756)
At3g54650	251850_at	Arabidopsis thaliana	RNI-like superfamily protein(FBL17)
At1g07320	261078_at	Arabidopsis thaliana	ribosomal protein L4(RPL4)
At2g01735	265888_at	Arabidopsis thaliana	RING-finger protein for embryogenesi(RIE1)
At2g44520	267342_at	Arabidopsis thaliana	cytochrome c oxidase 10(COX10)
At5g61410	247523_at	Arabidopsis thaliana	D-ribulose-5-phosphate-3-epimerase(RPE)
At1g31860	246265_at	Arabidopsis thaliana	histidine biosynthesis bifunctional protein (HISIE)(AT-IE)
At4g16370	245296_at	Arabidopsis thaliana	oligopeptide transporter(OPT3)
At4g33680	253308_at	Arabidopsis thaliana	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein(AGD2)
At1g09700	264677_at	Arabidopsis thaliana	dsRNA-binding domain-like superfamily protein(HYL1)
At3g04790	259098_at	Arabidopsis thaliana	Ribose 5-phosphate isomerase, type A protein(EMB3119)
At1g67320	264969_at	Arabidopsis thaliana	DNA primase, large subunit family(EMB2813)
At3g25860	258086_at	Arabidopsis thaliana	2-oxoacid dehydrogenases acyltransferase family protein(LTA2)
At2g18020	265805_s_at	Arabidopsis thaliana	Ribosomal protein L2 family(EMB2296)
At2g22870	266801_at	Arabidopsis thaliana	P-loop containing nucleoside triphosphate hydrolases superfamily protein(EMB2001)
At1g01370	261058_at	Arabidopsis thaliana	Histone superfamily protein(HTR12)
At2g07690	266959_at	Arabidopsis thaliana	Minichromosome maintenance (MCM2/3/5) family protein(MCM5)
At1g55540	265074_at	Arabidopsis thaliana	Nuclear pore complex protein(LNO1)
At1g55540	265069_at	Arabidopsis thaliana	Nuclear pore complex protein(LNO1)
At2g38670	266399_at	Arabidopsis thaliana	phosphorylethanolamine cytidylyltransferase 1(PECT1)
At2g25660	265896_at	Arabidopsis thaliana	embryo defective 2410(emb2410)
At3g17300	258413_at	Arabidopsis thaliana	COMPLEX 1 LYR-like protein(EMB2786)
At5g50210	248550_at	Arabidopsis thaliana	quinolinate synthase(QS)
At3g02660	258475_at	Arabidopsis thaliana	Tyrosyl-tRNA synthetase, class Ib, bacterial/mitochondrial(EMB2768)
At4g32400	253435_at	Arabidopsis thaliana	Mitochondrial substrate carrier family protein(SHS1)
At2g38280	267095_at	Arabidopsis thaliana	AMP deaminase, putative / myoadenylate deaminase(FAC1)
At4g21300	254401_at	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT4G21300)
At4g31400	253518_at	Arabidopsis thaliana	protein CTF7(CTF7)
At3g54670	251851_at	Arabidopsis thaliana	Structural maintenance of chromosomes (SMC) family protein(TTN8)
At1g79560	262937_at	Arabidopsis thaliana	FTSH protease 12(FTSH12)
At1g78580	263136_at	Arabidopsis thaliana	trehalose-6-phosphate synthase(TPS1)
